289.70	42.30	51.20	25.40
135.20	41.70	45.90	17.20
222.40	4.30	49.80	16.70
296.40	36.30	100.90	23.80
280.20	10.10	21.40	19.80
187.90	17.20	17.90	19.70
238.20	34.30	5.30	20.70
137.90	46.40	59.00	15.00
25.00	11.00	29.70	7.20
90.40	0.30	23.20	12.00
13.10	0.40	25.60	5.30
255.40	26.90	5.50	19.80
225.80	8.20	56.50	18.40
241.70	38.00	23.20	21.80
175.70	15.40	2.40	17.10
209.60	20.60	10.70	20.90
78.20	46.80	34.50	14.60
75.10	35.00	52.70	12.60
139.20	14.30	25.60	12.20
76.40	0.80	14.80	9.40
125.70	36.90	79.20	15.90
19.40	16.00	22.30	6.60
141.30	26.80	46.20	15.50
18.80	21.70	50.40	7.00
224.00	2.40	15.60	16.60
123.10	34.60	12.40	15.20
229.50	32.30	74.20	19.70
87.20	11.80	25.90	10.60
7.80	38.90	50.60	6.60
80.20	0.00	9.20	11.90
220.30	49.00	3.20	24.70
59.60	12.00	43.10	9.70
0.70	39.60	8.70	1.60
265.20	2.90	43.00	17.70
8.40	27.20	2.10	5.70
219.80	33.50	45.10	19.60
36.90	38.60	65.60	10.80
48.30	47.00	8.50	11.60
25.60	39.00	9.30	9.50
273.70	28.90	59.70	20.80
43.00	25.90	20.50	9.60
184.90	43.90	1.70	20.70
73.40	17.00	12.90	10.90
193.70	35.40	75.60	19.20
220.50	33.20	37.90	20.10
104.60	5.70	34.40	10.40
96.20	14.80	38.90	12.30
140.30	1.90	9.00	10.30
240.10	7.30	8.70	18.20
243.20	49.00	44.30	25.40
38.00	40.30	11.90	10.90
44.70	25.80	20.60	10.10
280.70	13.90	37.00	16.10
121.00	8.40	48.70	11.60
197.60	23.30	14.20	16.60
171.30	39.70	37.70	16.00
187.80	21.10	9.50	20.60
4.10	11.60	5.70	3.20
93.90	43.50	50.50	15.30
149.80	1.30	24.30	10.10
11.70	36.90	45.20	7.30
131.70	18.40	34.60	12.90
172.50	18.10	30.70	16.40
85.70	35.80	49.30	13.30
188.40	18.10	25.60	19.90
163.50	36.80	7.40	18.00
117.20	14.70	5.40	11.90
234.50	3.40	84.80	16.90
17.90	37.60	21.60	8.00
206.80	5.20	19.40	17.20
215.40	23.60	57.60	17.10
284.30	10.60	6.40	20.00
50.00	11.60	18.40	8.40
164.50	20.90	47.40	17.50
19.60	20.10	17.00	7.60
168.40	7.10	12.80	16.70
222.40	3.40	13.10	16.50
276.90	48.90	41.80	27.00
248.40	30.20	20.30	20.20
170.20	7.80	35.20	16.70
276.70	2.30	23.70	16.80
165.60	10.00	17.60	17.60
156.60	2.60	8.30	15.50
218.50	5.40	27.40	17.20
56.20	5.70	29.70	8.70
287.60	43.00	71.80	26.20
253.80	21.30	30.00	17.60
205.00	45.10	19.60	22.60
139.50	2.10	26.60	10.30
191.10	28.70	18.20	17.30
286.00	13.90	3.70	20.90
18.70	12.10	23.40	6.70
39.50	41.10	5.80	10.80
75.50	10.80	6.00	11.90
17.20	4.10	31.60	5.90
166.80	42.00	3.60	19.60
149.70	35.60	6.00	17.30
38.20	3.70	13.80	7.60
94.20	4.90	8.10	14.00
177.00	9.30	6.40	14.80
283.60	42.00	66.20	25.50
232.10	8.60	8.70	18.40
